name;norad_cat_id;epoch;tle_line1;tle_line2
COSMOS 2024 (ETALON 2);20026;2025-10-05T09:51:26.564832;;
FLTSATCOM 8 (USA 46);20253;2025-10-04T14:13:33.581856;;
LUSAT (LO-19);20442;2025-10-05T00:41:22.448256;;
HST;20580;2025-10-05T07:35:15.931968;;
SKYNET 4C;20776;2025-10-04T20:38:11.701824;;
USA 65 (DSP 15);20929;2025-10-05T07:49:05.592288;;
TDRS 5;21639;2025-10-05T09:30:38.814912;;
USA 75 (DSP 16);21805;2025-10-05T06:01:47.078976;;
LAGEOS 2;22195;2025-10-01T10:30:28.379808;;
TDRS 6;22314;2025-10-05T06:43:00.411168;;
SCD 1;22490;2025-10-05T11:53:30.965856;;
UFO 2 (USA 95);22787;2025-10-04T20:36:56.823264;;
STELLA;22824;2025-10-05T11:36:04.628160;;
EYESAT A (AO-27);22825;2025-10-05T11:15:47.826720;;
ITAMSAT (IO-26);22826;2025-10-05T10:53:43.331136;;
USA 99 (MILSTAR-1 1);22988;2025-10-01T20:06:45.860256;;
RADIO ROSTO (RS-15);23439;2025-10-05T11:44:51.955008;;
UFO 4 (USA 108);23467;2025-10-05T05:28:24.235392;;
TDRS 7;23613;2025-10-04T17:39:30.224736;;
USA 115 (MILSTAR-1 2);23712;2025-10-05T09:21:44.404992;;
POLAR;23802;2025-10-03T13:20:43.679904;;
INMARSAT 3-F1;23839;2025-10-05T03:30:38.716416;;
USA 119;23893;2025-10-05T07:42:57.199968;;
JAS-2 (FO-29);24278;2025-10-05T09:13:09.519744;;
INMARSAT 3-F2;24307;2025-10-05T12:06:44.343360;;
INMARSAT 3-F3;24674;2025-10-05T10:44:37.162176;;
NAVSTAR 43 (USA 132);24876;2025-10-04T22:17:14.280000;;
FORTE;24920;2025-10-05T07:30:34.153920;;
AMC-3;24936;2025-10-05T10:25:22.116000;;
USA 134;25019;2025-10-05T09:32:10.290048;;
ORBCOMM FM06;25118;2025-10-05T11:44:36.779712;;
INMARSAT 3-F5;25153;2025-10-05T05:54:25.836768;;
ORBCOMM FM04;25159;2025-10-05T11:17:57.449184;;
CELESTIS-02 & TAURUS R/B;25160;2025-10-05T12:49:17.142816;;
TECHSAT 1B (GO-32);25397;2025-10-05T10:15:28.185984;;
WESTPAC;25398;2025-10-05T11:01:33.182976;;
ORBCOMM FM19;25415;2025-10-05T07:30:33.700320;;
ORBCOMM FM20;25416;2025-10-05T11:54:07.566624;;
ORBCOMM FM27;25481;2025-10-04T21:04:58.799712;;
SCD 2;25504;2025-10-05T11:43:57.387360;;
ISS (ZARYA);25544;2025-10-05T11:57:08.971200;;
SWAS;25560;2025-10-05T09:16:41.973024;;
SKYNET 4E;25639;2025-09-30T00:30:26.836416;;
DLR-TUBSAT;25757;2025-10-05T11:02:25.601856;;
CXO;25867;2025-10-04T20:40:38.074656;;
ABS-6;25924;2025-10-05T11:46:38.730720;;
NAVSTAR 46 (USA 145);25933;2025-10-05T06:46:38.615232;;
UFO 10 (USA 146);25967;2025-10-05T03:13:09.550848;;
ORBCOMM FM32;25982;2025-10-05T11:16:31.984032;;
XMM-NEWTON;25989;2025-10-04T01:31:41.627136;;
TERRA;25994;2025-10-05T11:02:21.043392;;
ASIASTAR;26107;2025-10-05T08:57:58.988160;;
IMAGE;26113;2025-10-05T07:47:43.132992;;
USA 149 (DSP 20);26356;2025-10-03T11:46:38.793792;;
NAVSTAR 47 (USA 150);26360;2025-10-05T06:46:30.345024;;
TDRS 8;26388;2025-10-04T19:36:38.628000;;
NAVSTAR 48 (USA 151);26407;2025-10-05T06:26:42.757152;;
CLUSTER II-FM7 (SAMBA);26410;2025-10-03T11:21:06.895008;;
CLUSTER II-FM5 (RUMBA);26463;2025-10-04T07:49:37.456608;;
CLUSTER II-FM8 (TANGO);26464;2025-10-03T17:42:36.535968;;
NSS-11;26554;2025-10-05T11:01:02.187840;;
USA 153;26575;2025-10-05T05:40:47.894016;;
AMC-6;26580;2025-10-05T12:31:19.148160;;
NAVSTAR 49 (USA 154);26605;2025-10-05T09:45:02.020032;;
ODIN;26702;2025-10-05T08:16:02.559648;;
USA 157 (MILSTAR-2 2);26715;2025-10-05T12:13:35.289408;;
BSAT-2A;26720;2025-10-05T12:11:23.792064;;
INTELSAT 10 (IS-10);26766;2025-10-05T10:31:27.524928;;
OMNI-M1;26857;2025-09-24T11:24:34.662816;;
USA 159 (DSP 21);26880;2025-10-02T03:54:38.498112;;
INTELSAT 902 (IS-902);26900;2025-09-29T07:40:38.690400;;
PCSAT (NO-44);26931;2025-10-05T11:47:06.790848;;
PROBA-1;26958;2025-10-05T11:11:59.740224;;
TIMED;26998;2025-10-05T10:22:38.076096;;
MAROC-TUBSAT;27004;2025-10-05T11:09:13.020192;;
COSMOS 2385;27056;2025-10-05T14:04:12.667008;;
COSMOS 2386;27057;2025-10-05T08:51:27.464832;;
USA 164 (MILSTAR-2 3);27168;2025-10-05T11:58:52.595904;;
INTELSAT 904 (IS-904);27380;2025-10-04T16:55:18.074784;;
AQUA;27424;2025-10-05T12:21:34.060320;;
DIRECTV 5 (TEMPO 1);27426;2025-10-05T11:25:37.765056;;
INTELSAT 905 (IS-905);27438;2025-10-05T12:29:13.060320;;
GALAXY 3C (G-3C);27445;2025-10-05T11:50:32.809920;;
COSMOS 2390;27464;2025-10-05T13:01:38.303616;;
COSMOS 2391;27465;2025-10-05T13:04:49.733184;;
INTELSAT 906 (IS-906);27513;2025-10-05T12:11:51.351072;;
TDRS 10;27566;2025-10-05T10:07:19.516224;;
LATINSAT B;27606;2025-10-05T11:10:34.365792;;
SAUDISAT 1C (SO-50);27607;2025-10-05T04:30:17.900352;;
LATINSAT A;27612;2025-10-05T11:40:07.730112;;
NIMIQ 2;27632;2025-10-05T11:22:22.641888;;
CORIOLIS;27640;2025-10-05T10:59:07.079712;;
SORCE;27651;2025-10-05T08:20:40.619040;;
NAVSTAR 51 (USA 166);27663;2025-10-05T10:09:32.719104;;
USA 167;27691;2025-10-05T11:18:38.001024;;
NAVSTAR 52 (USA 168);27704;2025-10-05T05:46:10.592832;;
USA 169 (MILSTAR-2 4);27711;2025-09-30T16:08:57.404832;;
ASIASAT 4;27718;2025-10-05T07:27:22.675104;;
HELLAS-SAT 2;27811;2025-10-05T04:59:36.842784;;
THURAYA-2;27825;2025-10-05T10:23:05.826912;;
OPTUS C1;27831;2025-10-05T07:29:44.948256;;
MOST;27843;2025-10-05T12:13:57.368064;;
CUTE-1 (CO-55);27844;2025-10-05T10:33:31.177152;;
CUBESAT XI-IV (CO-57);27848;2025-10-05T12:20:24.252576;;
SCISAT 1;27858;2025-10-05T11:12:21.479328;;
COSMOS 2400;27868;2025-10-05T12:29:00.471840;;
COSMOS 2401;27869;2025-10-05T13:06:59.417856;;
USA 170;27875;2025-10-05T12:00:29.941056;;
MOZHAETS 4 (RS-22);27939;2025-10-05T12:02:54.692160;;
LARETS;27944;2025-10-05T11:55:01.405920;;
GALAXY 13 (HORIZONS-1);27954;2025-10-05T12:16:25.747104;;
IRS-P6 (RESOURCESAT-1);28051;2025-10-05T14:09:11.339712;;
DMSP 5D-3 F16 (USA 172);28054;2025-10-05T12:35:29.645088;;
CHUANGXIN 1 (CX-1);28058;2025-10-05T10:02:12.903360;;
YAMAL 202;28089;2025-10-05T07:31:44.755680;;
UFO 11 (USA 174);28117;2025-10-05T08:49:37.290144;;
NAVSTAR 53 (USA 175);28129;2025-10-05T05:26:09.312288;;
USA 176 (DSP 22);28158;2025-10-05T09:53:49.340832;;
ABS-4 (MOBISAT-1);28184;2025-10-05T12:10:58.934784;;
EUTELSAT 7A;28187;2025-10-05T12:26:46.677120;;
NAVSTAR 54 (USA 177);28190;2025-10-05T07:38:56.441184;;
SHIYAN-1 (SY-1);28220;2025-10-05T02:43:54.625152;;
