name;norad_cat_id;epoch;tle_line1;tle_line2
BEIDOU-2 G3;36590;2025-10-05T12:16:13.433376;;
BADR-5;36592;2025-10-05T12:00:52.405056;;
SJ-12;36596;2025-10-05T11:36:01.847808;;
TANDEM-X;36605;2025-10-04T16:31:48.230688;;
COMS 1;36744;2025-10-05T10:47:18.503808;;
ARABSAT-5A;36745;2025-10-05T12:02:14.772768;;
ECHOSTAR 15;36792;2025-10-05T09:23:33.165312;;
CARTOSAT-2B;36795;2025-10-05T12:04:09.340032;;
ALSAT 2A;36798;2025-10-05T11:49:36.115968;;
TISAT 1;36799;2025-10-05T07:45:46.395360;;
BEIDOU-2 IGSO-1;36828;2025-10-01T15:06:29.822976;;
NILESAT 201;36830;2025-10-05T08:26:02.051232;;
RASCOM-QAF 1R;36831;2025-10-05T06:30:38.706048;;
YAOGAN-10;36834;2025-10-05T13:54:22.671648;;
AEHF-1 (USA 214);36868;2025-10-05T12:02:07.286208;;
COSMOS 2467;37152;2025-10-05T08:09:40.568832;;
STRELA 3;37153;2025-10-05T12:13:21.619200;;
COSMOS 2468;37154;2025-10-05T08:17:12.172992;;
YAOGAN-11;37165;2025-10-05T11:27:01.585152;;
ZHEDA PIXING 1B;37166;2025-10-05T11:33:06.468768;;
ZHEDA PIXING 1C;37167;2025-10-05T11:57:25.805376;;
SBSS (USA 216);37168;2025-10-05T13:38:49.842816;;
SHIJIAN-6 04A (SJ-6 04A);37179;2025-10-05T12:20:31.005600;;
SHIJIAN-6 04B (SJ-6 04B);37180;2025-10-05T11:52:12.227808;;
XM-5;37185;2025-10-05T11:20:37.811040;;
GLOBALSTAR M079;37188;2025-10-05T04:29:23.717184;;
GLOBALSTAR M074;37189;2025-10-05T10:50:32.445024;;
GLOBALSTAR M076;37190;2025-10-05T09:34:57.607104;;
GLOBALSTAR M077;37191;2025-09-18T02:44:08.653920;;
GLOBALSTAR M075;37192;2025-10-05T13:41:34.977408;;
GLOBALSTAR M073;37193;2025-10-05T12:53:03.751872;;
BSAT-3B;37207;2025-10-05T12:24:58.428288;;
BEIDOU-2 G4;37210;2025-10-05T10:23:38.715072;;
FENGYUN 3B;37214;2025-10-05T14:05:27.048768;;
COSMO-SKYMED 4;37216;2025-10-05T12:34:41.338848;;
SKYTERRA 1;37218;2025-10-05T11:26:54.458016;;
O/OREOS (USA 219);37224;2025-10-05T10:57:31.542048;;
HYLAS 1;37237;2025-10-05T08:07:58.082880;;
INTELSAT 17 (IS-17);37238;2025-10-05T12:12:21.304224;;
BEIDOU-2 IGSO-2;37256;2025-10-04T14:52:25.035744;;
EUTELSAT KA-SAT 9A;37258;2025-10-05T03:22:16.176864;;
HISPASAT 30W-5;37264;2025-10-05T10:02:15.326016;;
KOREASAT 6;37265;2025-10-05T11:46:38.730720;;
BEIDOU-2 IGSO-3;37384;2025-10-02T20:08:29.978304;;
RESOURCESAT-2;37387;2025-10-05T10:38:47.089248;;
YOUTHSAT;37388;2025-10-05T10:54:12.575808;;
X-SAT;37389;2025-10-05T12:15:51.917184;;
INTELSAT 28 (IS-28);37392;2025-10-05T10:01:45.372000;;
YAHSAT 1A;37393;2025-10-05T03:34:44.982336;;
SBIRS GEO-1 (USA 230);37481;2025-10-05T12:08:21.685920;;
TELSTAR 14R;37602;2025-10-05T10:36:18.641952;;
GSAT-8;37605;2025-10-05T12:09:14.103072;;
ST-2;37606;2025-10-05T10:35:57.093792;;
ZHONGXING-10;37677;2025-10-05T12:15:28.505376;;
SJ-11-03;37730;2025-10-05T12:22:34.735584;;
GLOBALSTAR M083;37739;2025-10-05T11:33:19.845216;;
GLOBALSTAR M088;37740;2025-10-05T13:13:52.769280;;
GLOBALSTAR M091;37741;2025-10-05T11:40:59.238336;;
GLOBALSTAR M085;37742;2025-10-05T09:31:35.050080;;
GLOBALSTAR M081;37743;2025-10-05T08:11:07.678176;;
GLOBALSTAR M089;37744;2025-10-05T13:05:14.483328;;
SES-3;37748;2025-10-05T11:34:02.792064;;
KAZSAT-2;37749;2025-10-05T12:18:13.240800;;
NAVSTAR 66 (USA 232);37753;2025-10-05T04:19:54.862176;;
BEIDOU-2 IGSO-4;37763;2025-10-03T16:19:50.085984;;
SJ-11-02;37765;2025-10-05T10:54:35.999712;;
ASTRA 1N;37775;2025-10-05T11:58:52.595904;;
BSAT-3C (JCSAT-110R);37776;2025-10-05T12:24:58.428288;;
PAKSAT-1R;37779;2025-10-05T12:04:22.070208;;
HAIYANG-2A;37781;2025-10-05T11:52:42.437568;;
NIGERIASAT-2;37789;2025-10-05T12:05:00.422304;;
NIGERIASAT-X;37790;2025-10-05T10:53:13.312320;;
RASAT;37791;2025-10-05T12:58:03.643680;;
APRIZESAT 5;37792;2025-10-05T09:14:23.071200;;
APRIZESAT 6;37793;2025-10-05T07:23:45.450816;;
SES-2;37809;2025-10-05T11:36:49.214880;;
ARABSAT-5C;37810;2025-10-05T11:59:07.573344;;
EUTELSAT 7 WEST A;37816;2025-10-05T08:25:54.562080;;
TACSAT 4;37818;2025-10-05T08:36:57.902400;;
QUETZSAT 1;37826;2025-10-05T11:55:20.503776;;
INTELSAT 18 (IS-18);37834;2025-10-05T10:43:51.706272;;
EUTELSAT 16A;37836;2025-10-05T06:14:38.814144;;
JUGNU;37839;2025-10-05T11:51:39.426048;;
SRMSAT;37841;2025-10-05T02:32:42.940320;;
VIASAT-1;37843;2025-10-05T07:12:30.729024;;
GSAT0101 (GALILEO-PFM);37846;2025-10-02T22:10:48.936864;;
GSAT0102 (GALILEO-FM2);37847;2025-10-05T04:36:09.093024;;
SUOMI NPP;37849;2025-10-05T12:49:00.052032;;
COSMOS 2476 [GLONASS-M];37867;2025-10-02T21:51:52.184160;;
COSMOS 2477 [GLONASS-M];37868;2025-10-02T08:46:00.408000;;
COSMOS 2475 [GLONASS-M];37869;2025-10-05T10:35:08.882592;;
YAOGAN-12;37875;2025-10-05T13:10:00.390432;;
CHUANGXIN 1-03 (CX-1-03);37930;2025-10-05T12:28:07.555296;;
SHIYAN-4 (SY-4);37931;2025-10-05T11:20:38.173056;;
ASIASAT 7;37933;2025-10-05T12:23:43.548000;;
BEIDOU-2 IGSO-5;37948;2025-10-02T19:09:59.547168;;
LUCH-5A;37951;2025-10-05T04:07:26.846400;;
SSOT;38011;2025-10-05T12:25:57.493920;;
PLEIADES 1A;38012;2025-10-05T11:44:19.225824;;
NIGCOMSAT 1R;38014;2025-10-05T12:05:36.948768;;
ZIYUAN 1-02C (ZY 1-02C);38038;2025-10-05T12:05:39.074208;;
GLOBALSTAR M084;38040;2025-10-04T17:32:11.406048;;
GLOBALSTAR M080;38041;2025-10-05T09:58:52.724064;;
GLOBALSTAR M082;38042;2025-10-05T01:39:29.896128;;
GLOBALSTAR M092;38043;2025-10-05T11:40:43.605120;;
GLOBALSTAR M090;38044;2025-10-05T11:18:23.558400;;
GLOBALSTAR M086;38045;2025-10-05T11:55:43.830912;;
ZIYUAN 3-1 (ZY 3-1);38046;2025-10-05T13:04:20.584416;;
WGS F4 (USA 233);38070;2025-10-05T10:03:38.797920;;
LARES;38077;2025-10-05T11:36:06.763104;;
SES-4;38087;2025-10-05T08:21:47.458080;;
BEIDOU-2 G5;38091;2025-10-05T12:10:14.007648;;
MUOS-1;38093;2025-10-05T11:25:07.379040;;
INTELSAT 22 (IS-22);38098;2025-10-05T12:14:06.135936;;
APSTAR-7;38107;2025-10-05T10:32:34.917792;;
YAHSAT 1B;38245;2025-10-05T03:33:15.126336;;
BEIDOU-2 M3;38250;2025-10-05T03:12:23.663808;;
BEIDOU-2 M4;38251;2025-10-05T01:35:09.845952;;
AEHF-2 (USA 235);38254;2025-10-05T04:57:44.521920;;
TIANHUI 1-02;38256;2025-10-05T12:37:54.791040;;
YAOGAN-14;38257;2025-10-05T12:06:06.736032;;
JCSAT-13;38331;2025-10-05T12:28:58.044000;;
VINASAT-2;38332;2025-10-05T10:48:25.898400;;
GCOM-W1 (SHIZUKU);38337;2025-10-05T09:58:01.590816;;
ARIRANG-3 (KOMPSAT-3);38338;2025-10-05T11:48:14.635584;;
SDS-4;38339;2025-10-05T11:24:03.321216;;
NIMIQ 6;38342;2025-10-05T11:27:29.653056;;
ZHONGXING-2A;38352;2025-10-05T12:59:58.961760;;
YAOGAN-15;38354;2025-10-05T11:56:24.725760;;
INTELSAT 19 (IS-19);38356;2025-10-05T10:23:38.715072;;
NUSTAR;38358;2025-10-05T14:00:01.999008;;
ECHOSTAR 17;38551;2025-10-05T04:17:50.483328;;
METEOSAT-10 (MSG-3);38552;2025-10-05T05:02:36.557376;;
SES-5;38652;2025-10-05T08:29:24.228096;;
EXACTVIEW-1 (ADS-1B);38709;2025-10-05T06:41:16.288800;;
MKA-PN 1;38711;2025-10-05T07:16:38.690976;;
COSMOS 2481;38733;2025-10-05T12:15:30.506400;;
GONETS-M 3;38734;2025-10-05T13:07:48.484416;;
GONETS-M 4;38736;2025-10-05T11:03:49.336416;;
INTELSAT 20 (IS-20);38740;2025-10-05T12:13:06.232224;;
HYLAS 2;38741;2025-10-05T11:19:20.983296;;
EXPRESS-MD2;38745;2025-10-05T00:53:09.655584;;
INTELSAT 21 (IS-21);38749;2025-10-05T11:37:02.191296;;
SPOT 6;38755;2025-10-05T11:31:45.543936;;
SMDC ONE 1.2;38759;2025-10-05T09:09:14.097024;;
CINEMA;38764;2025-10-05T05:32:55.152096;;
AEROCUBE 4.5A;38767;2025-10-05T11:49:55.331328;;
METOP-B;38771;2025-10-05T10:34:59.051136;;
BEIDOU-2 M6;38775;2025-10-05T07:31:56.459424;;
ASTRA 2F;38778;2025-10-05T12:01:37.333056;;
GSAT-10;38779;2025-10-05T12:17:13.337088;;
VRSS-1;38782;2025-10-05T11:33:45.311616;;
NAVSTAR 67 (USA 239);38833;2025-10-05T01:09:22.270752;;
GSAT0103 (GALILEO-FM3);38857;2025-10-02T23:08:29.970528;;
SJ-9A;38860;2025-10-05T11:36:12.619296;;
SJ-9B;38861;2025-10-05T12:08:45.002688;;
INTELSAT 23 (IS-23);38867;2025-10-05T11:38:24.559008;;
BEIDOU-2 G6;38953;2025-10-05T12:17:28.312800;;
LUCH-5B;38977;2025-10-05T04:57:44.522784;;
YAMAL 300K;38978;2025-10-05T12:45:48.929184;;
STAR ONE C3;38991;2025-10-05T06:23:51.265248;;
EUTELSAT 21B;38992;2025-10-05T11:59:30.037344;;
ECHOSTAR 16;39008;2025-10-05T03:02:10.603968;;
YAOGAN-16 01A;39011;2025-10-05T06:08:48.202944;;
YAOGAN-16 01B;39012;2025-10-05T06:14:53.145312;;
YAOGAN-16 01C;39013;2025-10-05T11:33:21.891168;;
ZHONGXING-12;39017;2025-10-05T12:18:13.241664;;
PLEIADES 1B;39019;2025-10-05T11:58:41.219616;;
EUTELSAT 70B;39020;2025-10-05T12:13:43.671072;;
YAMAL 402;39022;2025-10-05T12:09:14.103072;;
GOKTURK 2;39030;2025-10-05T13:11:38.081184;;
SKYNET 5D;39034;2025-10-05T10:25:50.564064;;
MEXSAT 3;39035;2025-10-05T11:34:29.596800;;
COSMOS 2482;39057;2025-10-05T12:42:02.871360;;
COSMOS 2483;39058;2025-10-05T11:52:10.875648;;
COSMOS 2484;39059;2025-10-05T13:02:32.184384;;
TDRS 11;39070;2025-10-05T10:43:51.706272;;
GLOBALSTAR M097;39072;2025-10-05T12:09:13.589856;;
GLOBALSTAR M093;39073;2025-10-05T09:37:43.864032;;
GLOBALSTAR M094;39074;2025-10-05T03:55:13.054656;;
GLOBALSTAR M096;39075;2025-10-05T02:20:13.066080;;
GLOBALSTAR M078;39076;2025-10-05T11:12:55.552032;;
GLOBALSTAR M095;39077;2025-10-05T08:02:18.221568;;
AMAZONAS 3;39078;2025-10-05T10:38:45.331008;;
AZERSPACE 1;39079;2025-10-05T12:06:44.343360;;
LANDSAT 8;39084;2025-10-05T11:13:13.603584;;
SARAL;39086;2025-10-05T11:56:18.630240;;
SAPPHIRE;39088;2025-10-05T11:37:25.186656;;
NEOSSAT;39089;2025-10-05T11:51:30.544128;;
STRAND-1;39090;2025-10-05T12:00:23.052384;;
BRITE-AUSTRIA;39091;2025-10-05T11:29:36.362112;;
SBIRS GEO-2 (USA 241);39120;2025-10-05T04:48:15.431040;;
EUTELSAT 117 WEST A;39122;2025-10-05T11:51:42.133824;;
ANIK G1;39127;2025-10-05T11:22:52.595040;;
GAOFEN-1;39150;2025-10-05T12:39:16.028640;;
NEE-01 PEGASO;39151;2025-10-05T08:25:19.788672;;
COSMOS 2485 [GLONASS-M];39155;2025-10-01T19:37:48.346752;;
ZHONGXING-11;39157;2025-10-05T12:54:14.363136;;
PROBA-V;39159;2025-10-05T11:18:59.427360;;
VNREDSAT 1;39160;2025-10-05T12:29:06.753120;;
EUTELSAT 7B;39163;2025-10-05T08:30:01.666944;;
NAVSTAR 68 (USA 242);39166;2025-10-05T09:50:59.130240;;
WGS F5 (USA 243);39168;2025-10-04T23:39:10.891872;;
SES-6;39172;2025-10-05T11:42:01.710720;;
COSMOS 2486;39177;2025-10-05T13:20:20.681952;;
O3B FM4;39189;2025-10-02T07:12:28.306368;;
O3B FM2;39190;2025-10-05T08:45:05.087808;;
O3B PFM;39191;2025-10-05T09:05:20.137056;;
IRIS;39197;2025-10-05T11:31:36.331104;;
IRNSS-1A;39199;2025-10-05T12:08:59.127360;;
SJ-11-05;39202;2025-10-05T12:28:39.772128;;
MUOS-2;39206;2025-10-05T10:43:51.706272;;
SHIYAN-7 (SY-7);39208;2025-10-05T11:36:52.729632;;
CHUANGXIN-3 (CX-3);39209;2025-10-05T11:31:30.485280;;
SHIJIAN-15 (SJ-15);39210;2025-10-05T12:52:53.447808;;
ALPHASAT;39215;2025-10-05T05:09:35.885952;;
INSAT-3D;39216;2025-10-05T10:47:48.456960;;
WGS F6 (USA 244);39222;2025-10-05T12:31:19.108416;;
ARIRANG-5 (KOMPSAT-5);39227;2025-10-05T13:43:42.366432;;
ES'HAIL 1;39233;2025-10-05T03:27:00.724032;;
GSAT-7;39234;2025-10-05T10:31:57.478080;;
AMOS-4;39237;2025-10-05T12:12:06.326784;;
YAOGAN-17 01A;39239;2025-10-05T12:36:48.472992;;
YAOGAN-17 01B;39240;2025-10-05T13:33:33.288768;;
YAOGAN-17 01C;39241;2025-10-05T11:08:24.360576;;
GONETS-M 5;39249;2025-10-05T13:59:04.441056;;
GONETS-M 6;39250;2025-10-05T13:56:00.307968;;
GONETS-M 7;39251;2025-10-05T13:13:08.370048;;
HISAKI (SPRINT-A);39253;2025-10-05T10:45:56.994048;;
AEHF-3 (USA 246);39256;2025-10-05T11:18:08.048736;;
FENGYUN 3C;39260;2025-10-05T11:17:22.599744;;
CASSIOPE;39265;2025-10-05T11:53:03.679008;;
POPACS 1;39268;2025-10-05T11:35:47.787072;;
POPACS 2;39269;2025-10-05T10:00:11.608128;;
POPACS 3;39270;2025-10-05T08:43:32.556000;;
ASTRA 2E;39285;2025-10-05T12:01:44.821344;;
SHIJIAN-16 (SJ-16);39358;2025-10-05T12:48:21.799296;;
FM-6;39360;2025-10-05T03:09:50.893056;;
RADUGA-1M 3;39375;2025-10-05T03:29:45.461184;;
YAOGAN-19;39410;2025-10-05T13:12:56.503872;;
APRIZESAT 7;39416;2025-10-05T10:11:35.225664;;
ZACUBE-1 (TSHEPISOSAT);39417;2025-10-05T09:58:54.380352;;
SKYSAT-A;39418;2025-10-05T09:49:02.286336;;
DUBAISAT-2;39419;2025-10-05T11:54:58.413888;;
OPTOS;39420;2025-10-05T09:58:01.334208;;
STSAT-3;39422;2025-10-05T12:39:48.980736;;
WNISAT-1;39423;2025-10-05T10:09:04.499136;;
APRIZESAT 8;39425;2025-10-05T10:16:56.205984;;
TRITON-1;39427;2025-10-05T11:59:34.302912;;
GOMX-1;39430;2025-10-05T13:16:27.405408;;
FIRST-MOVE;39439;2025-10-05T10:22:33.045024;;
CUBEBUG-2 (LO-74);39440;2025-10-05T10:34:04.822176;;
NEE-02 KRYSAOR;39441;2025-10-04T18:59:15.326304;;
FUNCUBE-1 (AO-73);39444;2025-10-05T10:41:43.638144;;
UWE-3;39446;2025-10-05T09:32:52.106784;;
SWARM B;39451;2025-10-05T11:48:39.227616;;
SWARM A;39452;2025-10-05T10:37:44.000832;;
SWARM C;39453;2025-10-05T10:37:37.247808;;
SHIYAN-5 (SY-5);39455;2025-10-05T11:47:11.777856;;
SES-8;39460;2025-10-05T12:40:17.262912;;
ALICE;39467;2025-10-05T05:15:18.544032;;
SMDC ONE 2.4;39469;2025-10-05T07:31:00.388416;;
MCUBED-2;39472;2025-10-05T11:28:35.234976;;
TACSAT 6;39473;2025-10-05T11:33:09.408096;;
SMDC ONE 2.3;39474;2025-10-05T11:48:20.833920;;
INMARSAT 5-F1;39476;2025-10-05T03:37:37.206048;;
TKSAT-1 (TUPAC KATARI);39481;2025-10-05T11:36:49.180320;;
COSMOS 2488;39483;2025-10-05T12:09:17.222976;;
COSMOS 2489;39484;2025-10-05T11:29:22.239168;;
COSMOS 2490;39485;2025-10-05T12:44:12.386688;;
EXPRESS-AM5;39487;2025-10-05T11:22:38.705376;;
COSMOS 2493 (SKRL-756 1);39490;2025-10-05T11:19:34.294080;;
COSMOS 2494 (SKRL-756 2);39491;2025-10-05T10:36:39.235392;;
GSAT-14;39498;2025-10-05T10:31:57.478080;;
THAICOM 6;39500;2025-10-05T12:15:58.455936;;
TDRS 12;39504;2025-10-05T04:50:37.705056;;
ABS-2;39508;2025-10-05T12:14:58.553088;;
ATHENA-FIDUS;39509;2025-10-05T12:04:22.070208;;
TURKSAT 4A;39522;2025-10-05T12:05:29.462208;;
NAVSTAR 69 (USA 248);39533;2025-10-04T21:48:45.116064;;
GPM-CORE;39574;2025-10-05T12:25:01.314048;;
EXPRESS-AT1;39612;2025-10-05T12:09:29.078784;;
EXPRESS-AT2;39613;2025-10-05T11:22:38.705376;;
AMAZONAS 4A;39616;2025-10-05T11:32:21.685920;;
ASTRA 5B;39617;2025-10-05T12:00:07.477056;;
COSMOS 2492 [GLONASS-M];39620;2025-10-05T01:27:55.653984;;
SJ-11-06;39624;2025-10-05T12:27:43.426368;;
SENTINEL-1A;39634;2025-10-05T11:42:10.442304;;
IRNSS-1B;39635;2025-10-04T12:10:22.137024;;
LUCH-5V;39727;2025-10-05T12:37:14.964096;;
KAZSAT-3;39728;2025-10-05T12:10:14.006784;;
KAZEOSAT 1;39731;2025-10-05T12:19:56.203680;;
NAVSTAR 70 (USA 251);39741;2025-10-05T04:30:43.938720;;
COSMOS 2496;39761;2025-10-05T11:43:35.263776;;
COSMOS 2497;39762;2025-10-05T11:09:24.169248;;
COSMOS 2498;39763;2025-10-05T11:05:33.260928;;
ALOS-2;39766;2025-10-05T12:02:08.723904;;
UNIFORM 1;39767;2025-10-05T10:08:01.116096;;
SOCRATES;39768;2025-10-05T06:49:40.931328;;
RISING 2;39769;2025-10-05T12:30:05.568192;;
EUTELSAT 3B;39773;2025-10-05T08:28:54.274944;;
COSMOS 2500 [GLONASS-M];40001;2025-10-05T05:37:12.192960;;
KAZEOSAT 2;40010;2025-10-05T13:45:53.506080;;
HODOYOSHI-4;40011;2025-10-05T12:34:46.135776;;
UNISAT-6;40012;2025-10-05T10:06:11.666304;;
DEIMOS-2;40013;2025-10-05T11:24:28.177632;;
BUGSAT-1 (TITA);40014;2025-10-05T12:31:56.947296;;
HODOYOSHI-3;40015;2025-10-05T11:35:13.424064;;
SAUDISAT 4;40016;2025-10-05T09:11:38.626080;;
APRIZESAT 9;40018;2025-10-05T08:53:45.024000;;
APRIZESAT 10;40019;2025-10-05T07:55:59.818080;;
BRITE-CA1 (TORONTO);40020;2025-10-05T07:51:00.143136;;
DUCHIFAT-1;40021;2025-10-05T01:01:34.481280;;
NANOSATC-BR1;40024;2025-10-04T11:30:55.316160;;
QB50P1;40025;2025-10-05T10:59:39.730272;;
DTUSAT-2;40030;2025-10-05T10:57:22.875264;;
QB50P2;40032;2025-10-05T11:17:26.519712;;
PERSEUS-M2;40037;2025-10-05T12:28:01.505568;;
PERSEUS-M1;40039;2025-10-05T08:55:27.979968;;
POLYITAN-1;40042;2025-10-05T06:19:55.502112;;
TIGRISAT;40043;2025-10-05T09:24:46.584576;;
LEMUR-1;40044;2025-10-05T09:06:18.379296;;
AEROCUBE 6A;40045;2025-10-05T10:14:25.185696;;
AEROCUBE 6B;40046;2025-10-05T11:02:28.618080;;
SPOT 7;40053;2025-10-05T12:19:11.415648;;
CANX-4;40055;2025-10-05T11:58:49.063008;;
CANX-5;40056;2025-10-05T12:00:38.054880;;
OCO 2;40059;2025-10-05T11:01:40.849248;;
GONETS-M 8;40061;2025-10-05T12:49:23.447424;;
GONETS-M 9;40062;2025-10-05T11:42:43.525728;;
GONETS-M 10;40063;2025-10-05T13:11:38.471712;;
METEOR-M 2;40069;2025-10-05T11:10:08.423328;;
DX1;40071;2025-10-05T11:28:33.625344;;
SKYSAT-B;40072;2025-10-05T12:39:58.807008;;
UKUBE-1;40074;2025-10-05T11:22:00.978816;;
TECHDEMOSAT-1 (TDS-1);40076;2025-10-05T11:48:06.899328;;
O3B FM3;40079;2025-10-05T10:41:10.101120;;
O3B FM7;40080;2025-10-04T14:12:09.287424;;
O3B FM6;40081;2025-10-05T00:26:46.982112;;
O3B FM8;40082;2025-10-05T01:43:40.234080;;
ORBCOMM FM109;40086;2025-10-05T05:18:37.105056;;
NAVSTAR 71 (USA 256);40105;2025-10-04T18:43:05.603808;;
ASIASAT 8 (AMOS-7);40107;2025-10-05T12:23:36.058848;;
YAOGAN-20 01A;40109;2025-10-05T11:56:27.805920;;
YAOGAN-20 01B;40110;2025-10-05T11:58:28.291584;;
YAOGAN-20 01C;40111;2025-10-05T11:47:39.298848;;
WORLDVIEW-3 (WV-3);40115;2025-10-05T11:13:04.571328;;
GAOFEN-2;40118;2025-10-05T13:08:24.317952;;
BRITE-PL2 (HEWELIUSZ);40119;2025-10-05T06:10:31.495008;;
GSAT0201 (GALILEO 5);40128;2025-10-04T22:29:39.486048;;
GSAT0202 (GALILEO 6);40129;2025-10-04T15:42:53.867232;;
LING QIAO;40136;2025-10-05T11:31:51.070080;;
CHUANGXIN 1-04 (CX-1-04);40137;2025-10-05T11:11:29.245344;;
ASIASAT 6;40141;2025-10-05T13:36:51.847200;;
YAOGAN-21;40143;2025-10-05T12:26:19.925952;;
OPTUS 10;40146;2025-10-05T03:59:08.238912;;
MEASAT-3B;40147;2025-10-05T11:27:23.768352;;
LUCH (OLYMP-K 1);40258;2025-10-04T15:39:02.887200;;
SJ-11-07;40261;2025-10-05T11:59:51.930240;;
HIMAWARI-8;40267;2025-10-05T11:22:38.705376;;
IRNSS-1C;40269;2025-10-05T12:17:13.337088;;
INTELSAT 30 (IS-30);40271;2025-10-05T07:05:09.536928;;
ARSAT 1;40272;2025-10-05T12:29:38.818752;;
YAOGAN-22;40275;2025-10-05T09:55:37.420320;;
EXPRESS-AM6;40277;2025-10-05T13:51:29.272896;;
SJ-11-08;40286;2025-10-05T12:35:54.529152;;
NAVSTAR 72 (USA 258);40294;2025-10-04T15:42:12.113568;;
MERIDIAN 7;40296;2025-09-30T22:58:46.556256;;
ASNARO;40298;2025-10-05T15:35:01.845888;;
YAOGAN-24;40310;2025-10-05T13:18:08.724096;;
COSMOS 2501 [GLONASS-K];40315;2025-10-05T00:33:56.915424;;
GSAT-16;40332;2025-10-05T12:09:14.103072;;
DIRECTV 14;40333;2025-10-05T07:59:42.075168;;
CBERS 4;40336;2025-10-05T11:41:58.360128;;
YAOGAN-25 01A;40338;2025-10-05T11:41:34.251936;;
YAOGAN-25 01B;40339;2025-10-05T11:29:53.073600;;
YAOGAN-25 01C;40340;2025-10-05T11:29:26.653344;;
YAMAL 401;40345;2025-10-05T14:01:58.266624;;
O3B FM10;40348;2025-10-05T02:22:17.438016;;
O3B FM11;40349;2025-10-05T07:28:39.499392;;
O3B FM12;40350;2025-10-04T22:32:07.228320;;
O3B FM9;40351;2025-10-05T08:46:25.082112;;
COSMOS 2502;40358;2025-10-05T11:45:02.245248;;
YAOGAN-26;40362;2025-10-05T12:50:21.672384;;
ASTRA 2G;40364;2025-10-05T03:27:45.652032;;
FENGYUN 2G;40367;2025-10-05T10:39:11.784096;;
MUOS-3;40374;2025-10-05T04:57:59.499360;;
SMAP;40376;2025-10-05T12:22:28.487136;;
INMARSAT 5-F2;40384;2025-10-05T10:45:26.682336;;
COSMOS 2503;40420;2025-10-05T11:27:28.232640;;
ABS-3A;40424;2025-10-05T08:27:09.443232;;
EUTELSAT 115 WEST B;40425;2025-10-05T07:14:16.327968;;
MMS 1;40482;2025-10-05T14:00:01.999008;;
MMS 2;40483;2025-10-05T14:00:01.999008;;
MMS 3;40484;2025-10-05T14:00:01.999008;;
MMS 4;40485;2025-10-05T14:00:01.999008;;
EXPRESS-AM7;40505;2025-10-05T15:30:27.283968;;
NAVSTAR 73 (USA 260);40534;2025-10-05T06:49:49.958400;;
KOMPSAT-3A;40536;2025-10-05T11:42:48.538656;;
GSAT0203 (GALILEO 7);40544;2025-10-03T21:00:56.764800;;
GSAT0204 (GALILEO 8);40545;2025-10-02T08:54:30.351168;;
BEIDOU-3S IGSO-1S;40549;2025-09-30T23:40:32.557152;;
GONETS-M 11;40552;2025-10-05T11:21:43.176960;;
GONETS-M 12;40553;2025-10-05T12:43:23.309760;;
GONETS-M 13;40554;2025-10-05T11:59:37.631904;;
COSMOS 2504;40555;2025-10-05T10:25:34.917024;;
THOR 7;40613;2025-10-05T05:18:21.738816;;
TURKMENALEM52E/MONACOSAT;40617;2025-10-05T12:08:21.685920;;
DIRECTV 15;40663;2025-10-05T11:33:34.482240;;
SKY MEXICO-1;40664;2025-10-05T11:31:06.804768;;
SENTINEL-2A;40697;2025-10-05T11:01:35.899392;;
COSMOS 2506;40699;2025-10-05T12:54:16.638912;;
GAOFEN-8;40701;2025-10-05T12:53:38.869152;;
DMC3-FM1;40715;2025-10-05T12:40:58.044576;;
DMC3-FM2;40716;2025-10-05T11:36:00.347040;;
DMC3-FM3;40717;2025-10-05T13:44:28.357152;;
CARBONITE 1 (CBNT-1);40718;2025-10-05T11:30:04.339296;;
NAVSTAR 74 (USA 262);40730;2025-10-04T22:45:10.564416;;
METEOSAT-11 (MSG-4);40732;2025-10-05T05:08:21.744384;;
STAR ONE C4;40733;2025-10-05T02:59:48.330816;;
WGS F7 (USA 263);40746;2025-10-05T11:00:47.212128;;
BEIDOU-3S M2S;40748;2025-10-05T06:29:47.795712;;
BEIDOU-3S M1S;40749;2025-09-30T03:23:08.092032;;
INTELSAT 34 (IS-34);40874;2025-10-05T10:45:26.684064;;
EUTELSAT 8 WEST B;40875;2025-10-05T08:25:47.073792;;
YAOGAN-27;40878;2025-10-05T12:14:00.496608;;
GSAT-6;40880;2025-10-05T12:16:58.361376;;
INMARSAT 5-F3;40882;2025-10-05T11:02:02.093280;;
MUOS-4;40887;2025-10-05T12:14:51.063936;;
GSAT0205 (GALILEO 9);40889;2025-10-02T03:20:24.741600;;
GSAT0206 (GALILEO 10);40890;2025-10-04T16:56:52.795104;;
TJS-1;40892;2025-10-05T12:59:38.760576;;
GAOFEN-9 01;40894;2025-10-05T13:14:06.831744;;
EXPRESS-AM8;40895;2025-10-05T10:06:37.406592;;
LILACSAT-2;40908;2025-10-05T12:39:06.020928;;
COSMOS 2507;40920;2025-10-05T11:11:18.165408;;
COSMOS 2508;40921;2025-10-05T11:58:33.231936;;
COSMOS 2509;40922;2025-10-05T12:28:06.149568;;
ASTROSAT;40930;2025-10-05T04:52:55.917408;;
BEIDOU-3S IGSO-2S;40938;2025-10-01T22:41:58.314048;;
SKY MUSTER 1 (NBN1A);40940;2025-10-05T05:42:32.725728;;
